scraping_timestamp,league,date,time,home,away,status,team,position,player,playing
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Troyes,Nantes,Unknown Lineup,Troyes,F/M,Mama Balde,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Troyes,Nantes,Unknown Lineup,Troyes,G,G. Gallon,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Troyes,Nantes,Unknown Lineup,Troyes,M,L. Agoume,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Troyes,Nantes,Unknown Lineup,Troyes,D,T. Balde,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Troyes,Nantes,Unknown Lineup,Troyes,M,F. Tardieu,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Troyes,Nantes,Unknown Lineup,Nantes,D,N. Pallois,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Troyes,Nantes,Unknown Lineup,Nantes,M/D,F. Centonze,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Troyes,Nantes,Unknown Lineup,Nantes,D,Fabio,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Troyes,Nantes,Unknown Lineup,Nantes,D,C. Traore,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Reims,Rennes,Unknown Lineup,Reims,D,T. De Smet,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Reims,Rennes,Unknown Lineup,Reims,D,I. Diakite,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Reims,Rennes,Unknown Lineup,Reims,M,V. Berisha,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Reims,Rennes,Unknown Lineup,Reims,D,Maxime Busi,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Reims,Rennes,Unknown Lineup,Reims,D,A. Gravillon,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Reims,Rennes,Unknown Lineup,Reims,M,Dion Lopy,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Reims,Rennes,Unknown Lineup,Reims,F,Kaj Sierhuis,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Reims,Rennes,Unknown Lineup,Rennes,D,B. Meling,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Reims,Rennes,Unknown Lineup,Rennes,D,Warmed Omari,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Reims,Rennes,Unknown Lineup,Rennes,M,B. Santamaria,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Brest,Lyon,Unknown Lineup,Brest,D,Jere Uronen,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Brest,Lyon,Unknown Lineup,Lyon,D,J. Boateng,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Brest,Lyon,Unknown Lineup,Lyon,G,J. Pollersbeck,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Brest,Lyon,Unknown Lineup,Lyon,F/M,J. Reine-Adelaide,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Brest,Lyon,Unknown Lineup,Lyon,M,C. Tolisso,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Paris Saint-Germain,Strasbourg,Unknown Lineup,Paris Saint-Germain,D,Marquinhos,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Paris Saint-Germain,Strasbourg,Unknown Lineup,Paris Saint-Germain,D,T. Pembele,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Paris Saint-Germain,Strasbourg,Unknown Lineup,Paris Saint-Germain,M,Fabian Ruiz,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Paris Saint-Germain,Strasbourg,Unknown Lineup,Strasbourg,D,Colin Dagba,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Paris Saint-Germain,Strasbourg,Unknown Lineup,Strasbourg,M/D,I. Sissoko,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Marseille,Toulouse,Unknown Lineup,Marseille,D,Eric Bailly,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Marseille,Toulouse,Unknown Lineup,Marseille,M,Amine Harit,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Marseille,Toulouse,Unknown Lineup,Marseille,F/M,Gerson,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Marseille,Toulouse,Unknown Lineup,Toulouse,F/M,Z. Aboukhlal,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Marseille,Toulouse,Unknown Lineup,Toulouse,D,M. Desler,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Marseille,Toulouse,Unknown Lineup,Toulouse,F,Rhys Healey,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Marseille,Toulouse,Unknown Lineup,Toulouse,D,Kevin Keben,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Nice,Lens,Unknown Lineup,Nice,G,Marcin Bulka,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Nice,Lens,Unknown Lineup,Nice,F,Andy Delort,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Nice,Lens,Unknown Lineup,Nice,F/M,Sofiane Diop,NO
2022-11-18 17:56:17,2022 World Cup Starting - Starting XI For Each Country,2022-12-28,12:00 AM ET,Nice,Lens,Unknown Lineup,Nice,M,Mario Lemina,NO
