scraping_timestamp,league,date,time,home,away,status,team,position,player,playing
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,GK,David Raya,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,DL,Rico Henry,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,DC,P. Jansson,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,DC,Ben Mee,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,DR,Aaron Hickey,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,MC,Josh Dasilva,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,MC,V. Janelt,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,MC,M. Jensen,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,FWL,K. Lewis-Potter,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,FWR,Bryan Mbeumo,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,FW,Ivan Toney,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,M/D,Sergi Canos,NO
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,M,C. Norgaard,NO
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Brentford,D,E. Pinnock,NO
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,GK,A. Ramsdale,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,DL,K. Tierney,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,DC,Gabriel,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,DC,W. Saliba,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,DR,Ben White,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,DMC,Granit Xhaka,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,DMC,A. Lokonga,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,AML,G. Martinelli,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,AMC,M. Odegaard,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,AMR,Bukayo Saka,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,FW,G. Jesus,YES
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,M,T. Partey,NO
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,M,E. Smith Rowe,NO
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,M,M. Elneny,NO
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,F/M,Reiss Nelson,NO
2022-09-18 14:45:35,EPL,2022-09-18,7:00 AM ET,Brentford,Arsenal,Expected Lineup,Arsenal,M/D,O. Zinchenko,NO
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,GK,A. Begovic,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,DL,V. Mykolenko,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,DC,Conor Coady,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,DC,J. Tarkowski,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,DR,N. Patterson,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,MC,Amadou Onana,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,MC,Tom Davies,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,MC,Alex Iwobi,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,FWL,A. Gordon,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,FWR,Demarai Gray,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,FW,Neal Maupay,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,F,D. Calvert-Lewin,NO
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,M,A. Doucoure,NO
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,D,Ben Godfrey,NO
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,D,M. Holgate,NO
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,G,A. Lonergan,NO
